url ,label
https://www.clarin.com/img/2024/04/02/dcrk2qAYA_1256x620__1.jpg,1
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Rosa_%27Ambiente%27%2C_Bad_W%C3%B6rishofen%2C_Alemania%2C_2019-06-20%2C_DD_25.jpg/1200px-Rosa_%27Ambiente%27%2C_Bad_W%C3%B6rishofen%2C_Alemania%2C_2019-06-20%2C_DD_25.jpg,0
https://planterista.com/wp-content/uploads/2024/01/9-1024x649.jpg,1
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7yskd3cP7uRm_Fe1LZmgOmBbTwU6UTG06zQ&s,0
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/lolium-spp.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/amaranthus-palmeri.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/amaranthus-hybridus.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/echinochloa-crus-galli.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/pappophorum-sp.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/chlorideas.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/brassica-rapa.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/cynodon-hirsutus.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/digitaria-sanguinalis.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/urochloa-panicoides.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/conyza-spp.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/digitaria-insularis.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/sorghum-halepense.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/avena-fatua.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/salsola-tragus.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/echinochloa-colona.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/eleusine-indica.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/hirschfeldia-incana.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/raphanus-sativus.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/borreria-spp.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/carduus-acanthoides.jpg,1
https://www.aapresid.org.ar/rem-malezas/mapa-malezas/images/malezas/gomphrena-pulchella.jpg,1
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTk768h2LIkZapee-QsRLmI22A_IRTAOlY7e0foQOBINDYQI2s9fAGamA9RJZmNDwQZB9Q&usqp=CAU,1
https://montanaweb-bucket.s3.amazonaws.com/web/blog/114/diente-de-leon.jpeg,1
https://montanaweb-bucket.s3.amazonaws.com/web/blog/114/diente-de-leon.jpeg,1
